ID,NAME,GENERIC_NAME,COMPANY_NAME,SHORT_DESCRIPTION,PRICE,LONG_DESCRIPTION,IN_STOCK
27,Wet n Wild Fergie BB Cream SPF 15,Titanium Dioxide,Markwins Beauty Products Inc.,"Displ commnt fx shaft of l tibia, 7thF",569,"Displaced comminuted fracture of shaft of left tibia, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",false
28,Childrens Ibuprofen,Ibuprofen,Walgreen Company,Vesical tenesmus,133,Vesical tenesmus,false
29,Extra Strength Pain Relief,Acetaminophen,"L.N.K. International, Inc.","Sinus barotrauma, sequela",504,"Sinus barotrauma, sequela",false
30,Betamethasone Dipropionate,Betamethasone Dipropionate,"Glenmark Generics Inc., USA","Occup of pk-up/van injured in clsn w oth mv in traf, subs",93,"Unspecified occupant of pick-up truck or van injured in collision with other motor vehicles in traffic accident, subsequent encounter",true
31,Sulwhasoo EVENFAIR SMOOTHING FOUNDATION,OCTINOXATE,AMOREPACIFIC,"Toxic effect of unsp seafood, intentional self-harm, sequela",216,"Toxic effect of unspecified seafood, intentional self-harm, sequela",false
32,Head and Shoulders,Pyrithione Zinc,ALL NATURAL DYNAMICS,"Milt op involving oth conventional warfare, civilian, init",532,"Military operations involving other forms of conventional warfare, civilian, initial encounter",true
33,Hourglass Illusion Tinted Moisturizer Sand,"OCTINOXATE, OCTISALATE, TITANIUM DIOXIDE","Kingdom Animalia, LLC DBA Hourglass Cosmetics","Complete traumatic amp of r hip and thigh, level unsp, subs",86,"Complete traumatic amputation of right hip and thigh, level unspecified, subsequent encounter",true
34,Gray (White) Birch Pollen,Betula populifolia,"Allermed Laboratories, Inc.","Subacute osteomyelitis, unspecified site",454,"Subacute osteomyelitis, unspecified site",false
35,Birch,Birch,"Nelco Laboratories, Inc.","Prsn brd/alit a pedal cycle injured pick-up truck, pk-up/van",201,"Person boarding or alighting a pedal cycle injured in collision with car, pick-up truck or van",false
36,Dextromethorphan Hydrobromide and Promethazine Hydrochloride,Dextromethorphan Hydrobromide and Promethazine Hydrochloride,Atlantic Biologicals Corps,"Nondisp comminuted fracture of shaft of right femur, init",342,"Nondisplaced comminuted fracture of shaft of right femur, initial encounter for closed fracture",true
37,Herbal UTAPLAS.TN,"MENTHOL, METHYL SALICYLATE","Albert Max, Inc.","Disp fx of head of left radius, init for opn fx type I/2",139,"Displaced fracture of head of left radius, initial encounter for open fracture type I or II",false
38,Lorazepam,Lorazepam,BAXTER HEALTHCARE CORPORATION,"Injury of unsp nerve at forearm level, left arm, sequela",305,"Injury of unspecified nerve at forearm level, left arm, sequela",true
39,OCUFLOX,ofloxacin,"Allergan, Inc.","Ped on sktbrd inj pick-up truck, pk-up/van nontraf, sequela",592,"Pedestrian on skateboard injured in collision with car, pick-up truck or van in nontraffic accident, sequela",true
40,Quality Choice,Loratadine,"Chain Drug Marketing Association, Inc.","Synovial hypertrophy, not elsewhere classified, forearm",26,"Synovial hypertrophy, not elsewhere classified, forearm",true
41,Amlodipine Besylate,Amlodipine Besylate,Bryant Ranch Prepack,"Mech compl of internal prosth dev/grft, subs",89,"Other mechanical complication of other specified internal prosthetic devices, implants and grafts, subsequent encounter",false
42,equaline,Diphenhydramine hydrochloride and Zinc acetate,Supervalu Inc,"Pedl cyc driver injured in clsn w 2/3-whl mv nontraf, subs",147,"Pedal cycle driver injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",true
43,Methimazole,Methimazole,"Eon Labs, Inc.","Anatomical narrow angle, left eye",224,"Anatomical narrow angle, left eye",true
44,Levetiracetam,Levetiracetam,REMEDYREPACK INC.,"Polyhydramnios, second trimester, fetus 2",91,"Polyhydramnios, second trimester, fetus 2",false
45,Oxycodone Hydchloride,Oxycodone Hydchloride,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,NIHSS score 31,484,NIHSS score 31,true
46,Bug Away,Natural Medicine,King Bio Inc.,"Displ spiral fx shaft of l fibula, 7thN",379,"Displaced spiral fracture of shaft of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",false
47,Dexamethasone Sodium Phosphate,DEXAMETHASONE SODIUM PHOSPHATE,Cardinal Health,"Lacerat musc/fasc/tend at shldr/up arm, left arm, sequela",547,"Laceration of other muscles, fascia and tendons at shoulder and upper arm level, left arm, sequela",false
48,Fluconazole,fluconazole,Greenstone LLC,"Inj unsp blood vess at abdomen, lower back and pelvis level",134,"Other specified injury of unspecified blood vessel at abdomen, lower back and pelvis level",true
49,Suave Ocean Breeze,Aluminum Chlorohydrate,Conopco Inc. d/b/a Unilever,"Mtrcy driver inj in clsn w statnry object in traf, sequela",571,"Motorcycle driver injured in collision with fixed or stationary object in traffic accident, sequela",true
50,SHISEIDO THE MAKEUP FOUNDATION,Titanium dioxide,SHISEIDO AMERICAS CORPORATION,"Disp fx of nk of 3rd MC bone, r hand, subs for fx w nonunion",188,"Displaced fracture of neck of third metacarpal bone, right hand, subsequent encounter for fracture with nonunion",false
51,Concealing Spot Treatment,Sulfur,"Dermalogica, Inc.",Healthy person accompanying sick person,286,Healthy person accompanying sick person,true
52,preferred plus cough dm,dextromethorphan polistirex,Kinray,"Complete traum amp at lev betw elbow and wrs, unsp arm, init",85,"Complete traumatic amputation at level between elbow and wrist, unspecified arm, initial encounter",false
53,NUVIGIL,ARMODAFINIL,STAT Rx USA LLC,"Legal intervnt w firearm disch, bystand injured, sequela",81,"Legal intervention involving other firearm discharge, bystander injured, sequela",false
54,Prunus spinosa e summ 10%,Prunus spinosa e summ 10%,Uriel Pharmacy Inc.,"Laceration of unspecified part of colon, initial encounter",406,"Laceration of unspecified part of colon, initial encounter",true
55,Tasigna,nilotinib,Novartis Pharmaceuticals Corporation,Alternating esotropia with A pattern,240,Alternating esotropia with A pattern,false
56,Cephalexin,Cephalexin,OrchidPharma Inc,External constriction of nose,101,External constriction of nose,false
57,VALACYCLOVIR HYDROCHLORIDE,VALACYCLOVIR HYDROCHLORIDE,Wockhardt Limited,"Displaced fracture of capitate [os magnum] bone, right wrist",567,"Displaced fracture of capitate [os magnum] bone, right wrist",true
58,diphenhydramine hydrochloride,diphenhydramine hydrochloride,Lake Erie Medical & Surgical Supply DBA Quality Care Products LLC,"Partial loss of teeth due to caries, unspecified class",151,"Partial loss of teeth due to caries, unspecified class",false
59,SSD Cream,Silver Sulfadiazine,REMEDYREPACK INC.,Lacerat extn musc/fasc/tend and unsp finger at wrs/hnd lv,174,"Laceration of extensor muscle, fascia and tendon of other and unspecified finger at wrist and hand level",false
60,Night Relief Free,"acetaminophen, dextromethorphan hydrobromide and doxylamine succinate",Western Family Foods inc,"Displaced pilon fracture of unspecified tibia, sequela",348,"Displaced pilon fracture of unspecified tibia, sequela",true
61,Care One Ibuprofen PM,diphenhydramine citrate and ibuprofen,American Sales Company,"Adverse effect of pyrazolone derivatives, sequela",170,"Adverse effect of pyrazolone derivatives, sequela",false
62,Metoprolol tartrate,metoprolol tartrate,"Ingenus Pharmaceuticals, LLC","Corrosion of 2nd deg mul sites of unsp wrist and hand, subs",490,"Corrosion of second degree of multiple sites of unspecified wrist and hand, subsequent encounter",true
63,Ibuprofen IB,Ibuprofen,Family Dollar,"Abrasion of left hand, initial encounter",522,"Abrasion of left hand, initial encounter",true
64,ShopRite Allergy,Cetirizine Hydrochloride,Wakefern Food Corporation,Other disorders of mineral metabolism,448,Other disorders of mineral metabolism,false
65,Eastern Cottonwood,Eastern Cottonwood,"Nelco Laboratories, Inc.","Unspecified open wound, unspecified knee",350,"Unspecified open wound, unspecified knee",false
66,Diltiazem Hydrochloride,Diltiazem Hydrochloride,"Watson Pharma, Inc.",Eosinophilic esophagitis,139,Eosinophilic esophagitis,false
67,Care One migraine relief,"Acetaminophen, Aspirin, Caffeine",American Sales Company,"Sedatv/hyp/anxiolytc use, unsp w psych disorder w delusions",88,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions",false
68,Mirtazapine,Mirtazapine,Bryant Ranch Prepack,"Mtrcy passenger injured in collision w hv veh in traf, subs",464,"Motorcycle passenger injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",true
69,azithromycin,azithromycin,Greenstone LLC,"Ankylosis, unspecified joint",100,"Ankylosis, unspecified joint",true
70,Nerve Plus Composition,"Agaricus Muscarius, Symphytum Officinale, Hypericum Perforatum, Arnica Montana","Synergy Formulas, Inc.","Lacerat blood vessels at hip and thigh level, unsp leg, init",128,"Laceration of other blood vessels at hip and thigh level, unspecified leg, initial encounter",true
71,Roxicodone,oxycodone hydrochloride,"Mallinckrodt, Inc",Other specified osteochondropathies of forearm,55,Other specified osteochondropathies of forearm,false
72,Gambil Oak,Gambil Oak,"Nelco Laboratories, Inc.","Hemorrhage due to nervous system prosth dev/grft, subs",458,"Hemorrhage due to nervous system prosthetic devices, implants and grafts, subsequent encounter",false
73,hydroxyzine pamoate,hydroxyzine pamoate,"Preferred Pharmaceuticals, Inc.",Aseptic meningitis in leptospirosis,33,Aseptic meningitis in leptospirosis,true
74,Fluconazole,fluconazole,"Physicians Total Care, Inc.",Unspecified fracture of lower end of left femur,501,Unspecified fracture of lower end of left femur,false
75,Night Time Day Time Cold and Flu,"Acetaminophen, Dextromethorphan HBr, Doxylamine succinate, Phenylephrine HCl",HyVee Inc,Laceration w foreign body of abd wall w penet perit cav,167,Laceration with foreign body of abdominal wall with penetration into peritoneal cavity,false
76,Phentermine Hydrochloride,Phentermine Hydrochloride,Unit Dose Services,"Other rupture of muscle (nontraumatic), hand",157,"Other rupture of muscle (nontraumatic), hand",false
77,SULPHUR,SULPHUR,HOMEOLAB USA INC,Wheelchair (powered) colliding with stationary object,589,Wheelchair (powered) colliding with stationary object,true
78,StingMed,zinc acetate,Phillips Company,"Corrosion of third degree of right upper arm, init encntr",368,"Corrosion of third degree of right upper arm, initial encounter",true
79,Amlodipine Besylate,Amlodipine Besylate,Major Pharmaceuticals,"Priapism, unspecified",140,"Priapism, unspecified",true
80,Sore Throat,"Myosotis Arvensis, Scrophularia Nodosa, Teucrium Scorodonia, Veronica Officinalis, Equisetum Hyemale, Fumaria Officinalis","Deseret Biologicals, Inc.","Fracture of other parts of pelvis, sequela",514,"Fracture of other parts of pelvis, sequela",false
81,good sense pain relief,Acetaminophen,L Perrigo Company,Pers hx of unintended awareness under general anesthesia,84,Personal history of unintended awareness under general anesthesia,false
82,Insects (whole body) cockroach mix,Insects (whole body) cockroach mix,Jubilant HollisterStier LLC,"Arthropathy following intestinal bypass, right knee",485,"Arthropathy following intestinal bypass, right knee",false
83,Dover Aminophen,Acetaminophen,Unifirst First Aid Corporation,"Infect of breast assoc w pregnancy, the puerp and lactation",63,"Infections of breast associated with pregnancy, the puerperium and lactation",false
84,Ursodiol,Ursodiol,"Actavis Pharma, Inc.","Breakdown (mechanical) of ocular prosth dev/grft, init",115,"Breakdown (mechanical) of other ocular prosthetic devices, implants and grafts, initial encounter",true
85,ONGLYZA,SAXAGLIPTIN,Cardinal Health,"Ciguatera fish poisoning, undetermined, sequela",21,"Ciguatera fish poisoning, undetermined, sequela",false
86,Climara Pro,Estradiol and Levonorgestrel,Bayer HealthCare Pharmaceuticals Inc.,"Miscellaneous anesthesiology devices assoc w incdt, NEC",480,"Miscellaneous anesthesiology devices associated with adverse incidents, not elsewhere classified",true
87,Meropenem,Meropenem,"APP Pharmaceuticals, LLC","Oth fx upr & low end l fibula, 7thN",525,"Other fracture of upper and lower end of left fibula, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",false
88,Lavender Sage Antibacterial Foaming Hand Wash,Triclosan,"SJ Creations, Inc.","Major laceration of left internal jugular vein, init encntr",79,"Major laceration of left internal jugular vein, initial encounter",true
89,ESIKA,Aluminum Sesquichlorohydrate,Ventura Corporation Ltd.,"Blister (nonthermal) of breast, right breast, init encntr",14,"Blister (nonthermal) of breast, right breast, initial encounter",false
90,Disney PIXAR MONSTERS UNIVERSITY Antibacterial Hand Wipes,BENZALKONIUM CHLORIDE,"Bolero Home Decor, Inc.",Burn of unspecified degree of right lower leg,560,Burn of unspecified degree of right lower leg,false
91,Mustard Greens,Mustard Greens,"Antigen Laboratories, Inc.","Phlyctenular keratoconjunctivitis, right eye",47,"Phlyctenular keratoconjunctivitis, right eye",false
92,Hydrochlorothiazide,hydrochlorothiazide,Mylan Institutional Inc.,"Pasngr in 3-whl mv inj in clsn w nonmtr veh in traf, init",441,"Passenger in three-wheeled motor vehicle injured in collision with other nonmotor vehicle in traffic accident, initial encounter",true
93,Mold Relief Formula,"Kali Muriaticum, Gelsemium, Kali Bichromicum, Sabadilla, Histaminum, Mold Mix.","Integrative Healing Institute, LLC",Acute emblsm and thombos unsp deep vn unsp distal low extrm,219,Acute embolism and thrombosis of unspecified deep veins of unspecified distal lower extremity,false
94,Rite Aid Ultra Strength Muscle Rub,"MENTHOL, CAMPHOR, AND METHYLSALICYLATE",RITE AID CORPORATION,"Infect/inflm reaction due to int fix of left tibia, subs",290,"Infection and inflammatory reaction due to internal fixation device of left tibia, subsequent encounter",true
95,KENALOG-40,TRIAMCINOLONE ACETONIDE,REMEDYREPACK INC.,Abnormal result of other cardiovascular function study,320,Abnormal result of other cardiovascular function study,false
96,Zoledronic Acid,Zoledronic Acid,"JHP Pharmaceuticals, LLC.","Breakdown of int fix of bones of hand and fingers, sequela",276,"Breakdown (mechanical) of internal fixation device of bones of hand and fingers, sequela",true
97,Valsartan,valsartan,American Health Packaging,Superficial foreign body of knee,69,Superficial foreign body of knee,true
98,Oxygen Helium Mixture 30/70,Oxygen Helium Mixture 30/70,AGL Inhalation Therapy Co.,"I/I react d/t cystostomy catheter, sequela",158,"Infection and inflammatory reaction due to cystostomy catheter, sequela",true
99,Ibuprofen,Ibuprofen,CVS Pharmacy,"Disp fx of less trochanter of unsp femr, 7thJ",162,"Displaced fracture of lesser trochanter of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",false
100,White Pine,White Pine,"Nelco Laboratories, Inc.","Conjunctival hyperemia, left eye",420,"Conjunctival hyperemia, left eye",true
101,Growing Pains,"Calc Carb 30c, Calc Phos 30c, Eupatorium 30c, Guaicum 30c, Phosphoricum Acidum 30c, Ruta Grav 30c,",Home Sweet Homeopathics,"Disorder of ligament, vertebrae",256,"Disorder of ligament, vertebrae",false
102,TRUEplus diabetics foot care,Allantoin and Dimethicone,"Nipro Diagnostics, Inc.","Toxic effect of contact with other jellyfish, assault",563,"Toxic effect of contact with other jellyfish, assault",false
103,Black Willow,Black Willow,"Nelco Laboratories, Inc.",Preterm labor without delivery,432,Preterm labor without delivery,true
104,Perfecting Liquid Foundation Earthy Beige,Zinc Oxide,"Arbonne International, LLC","Drug-induced gout, unspecified hip",278,"Drug-induced gout, unspecified hip",false
105,Tiger Balm,Methyl Salicylate and Menthol,Haw Par Healthcare Ltd.,"Nondisp spiral fx shaft of l femr, 7thD",566,"Nondisplaced spiral fracture of shaft of left femur, subsequent encounter for closed fracture with routine healing",true
106,Colistimethate,Colistimethate,"X-GEN Pharmaceuticals, Inc.",Person outside 3-whl mv injured in nonclsn trnsp acc in traf,505,Person on outside of three-wheeled motor vehicle injured in noncollision transport accident in traffic accident,false
107,PERIPLANETA AMERICANA,AMERICAN COCKROACH,"ALK-Abello, Inc.","Poisoning by salicylates, accidental (unintentional), init",264,"Poisoning by salicylates, accidental (unintentional), initial encounter",true
108,Divalproex Sodium,divalproex sodium,"Aphena Pharma Solutions - Tennessee, LLC","Blister (nonthermal), right lesser toe(s), initial encounter",118,"Blister (nonthermal), right lesser toe(s), initial encounter",false
109,napoleon PERDIS CHINA DOLL FOUNDATION BROAD SPECTRUM SPF 15 Look 3,"TITANIUM DIOXIDE, ZINC OXIDE","Napoleon Perdis Cosmetics, Inc","Unsp fracture of left foot, subs for fx w malunion",574,"Unspecified fracture of left foot, subsequent encounter for fracture with malunion",false
110,ANTIBACTERIAL BANDAGE,benzalkonium chloride,"International Wholesale, Inc.",Unspecified physeal fracture of lower end of tibia,391,Unspecified physeal fracture of lower end of tibia,false
111,American Elm,American Elm,"Nelco Laboratories, Inc.",Retinal ischemia,414,Retinal ischemia,true
112,Hygea Benzalkonium Chloride,Benzalkonium Chloride,"Professional Disposables International, Inc.",Drown due to fall/jump fr oth burning unpowered watercraft,147,Drowning and submersion due to falling or jumping from other burning unpowered watercraft,true
113,Midazolam Hydrochloride,MIDAZOLAM HYDROCHLORIDE,"Hospira, Inc.","Oth comp of fb acc left in body fol inject or immuniz, init",240,"Other complications of foreign body accidentally left in body following injection or immunization, initial encounter",false
114,LORTUSS,"Doxylamine Succinate, Pseudoephedrine Hydrochloride",Poly Pharmaceuticals,"ABO incompatibility w acute hemolytic transfs react, init",121,"ABO incompatibility with acute hemolytic transfusion reaction, initial encounter",false
115,MEDI-FIRST Non-Aspirin Extra Strength,Acetaminophen,Unifirst First Aid Corporation,"Injury of unspecified uterine vein, subsequent encounter",16,"Injury of unspecified uterine vein, subsequent encounter",true
116,Astelin,Azelastine Hydrochloride,"Physicians Total Care, Inc.","Unspecified disorder of vestibular function, unspecified ear",545,"Unspecified disorder of vestibular function, unspecified ear",false
117,Valsartan,valsartan,Sandoz Inc,"Unspecified petrositis, left ear",494,"Unspecified petrositis, left ear",false
118,CellCept,Mycophenolate Mofetil,"Genentech, Inc.","Inj cutan sensory nerve at lower leg level, left leg, subs",523,"Injury of cutaneous sensory nerve at lower leg level, left leg, subsequent encounter",true
119,Banana Boat Protective Dry SPF 10,Homosalate and Octisalate and Octocrylene and Avobenzone,"Accra-Pac, Inc.",Renal dysplasia,152,Renal dysplasia,true
120,Cyclobenzaprine Hydrochloride,Cyclobenzaprine Hydrochloride,"PD-Rx Pharmaceuticals, Inc.","Rh incompatibility w hemolytic transfs react, unsp, init",166,"Rh incompatibility with hemolytic transfusion reaction, unspecified, initial encounter",false
121,Stridex Conditioning Acne Scrub,Salicylic Acid,Blistex Inc,Hallucinogen dependence w oth hallucinogen-induced disorder,86,Hallucinogen dependence with other hallucinogen-induced disorder,false
122,Heparin Sodium,Heparin Sodium,Cantrell Drug Company,"Unsp open wound of r mid finger w damage to nail, init",168,"Unspecified open wound of right middle finger with damage to nail, initial encounter",true
123,FLUORIDE DROPS,SODIUM FLUORIDE,Fluoritab Corporation,Liver and biliary tract disorders in childbirth,506,Liver and biliary tract disorders in childbirth,false
124,Parcopa,Carbidopa and Levodopa,"Jazz Pharmaceuticals, Inc.","Pathological fracture in neoplastic disease, unsp hand, init",125,"Pathological fracture in neoplastic disease, unspecified hand, initial encounter for fracture",true
125,Cold Relief,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",Western Family Foods Inc,"Strain extn musc/fasc/tend l little fngr at forarm lv, init",565,"Strain of extensor muscle, fascia and tendon of left little finger at forearm level, initial encounter",false
126,Calcitriol,Calcitriol,Teva Pharmaceuticals USA Inc,"Post-traumatic hydrocephalus, unspecified",486,"Post-traumatic hydrocephalus, unspecified",false
127,Allergy,"Acetaminophen, Chlorpheniramine maleate, Phenylephrine HCl",L. Perrigo Company,"Puncture wound without foreign body of right elbow, sequela",234,"Puncture wound without foreign body of right elbow, sequela",true
128,GUNA-EGF,EPIDERMAL GROWTH FACTOR,Guna spa,Occ of specl veh mainly used in agriculture inj in trnsp acc,591,Occupant of special vehicle mainly used in agriculture injured in transport accident,false
129,Lidocaine Hydrochloride,Lidocaine Hydrochloride,Rebel Distributors Corp,Merkel cell carcinoma of anal skin,129,Merkel cell carcinoma of anal skin,false
130,DOCUSATE SODIUM,DOCUSATE SODIUM,LLC Federal Solutions,"Nondisp segmental fx shaft of humerus, unsp arm, sequela",17,"Nondisplaced segmental fracture of shaft of humerus, unspecified arm, sequela",true
131,Stool Softener,DOCUSATE SODIUM,H E B,"Corrosion of second degree of unsp ankle and foot, subs",85,"Corrosion of second degree of unspecified ankle and foot, subsequent encounter",false
132,Naproxen,Naproxen,Carilion Materials Management,"Breakdown of bone devices, implants and grafts, init",556,"Breakdown (mechanical) of other bone devices, implants and grafts, initial encounter",false
133,Isoniazid,Isoniazid,"Preferred Pharmaceuticals, Inc.",Complex regional pain syndrome I of left upper limb,11,Complex regional pain syndrome I of left upper limb,true
134,PEG-3350 and Electrolytes,"Polyethylene Glycol 3350, Sodium Sulfate Anhydrous, Sodium Bicarbonate, Sodium Chloride, Potassium Chloride","Affordable Pharmaceuticals, LLC","Accidental discharge of airgun, sequela",407,"Accidental discharge of airgun, sequela",false
135,Phentermine Hydrochloride,Phentermine Hydrochloride,"Blenheim Pharmacal, Inc.","Toxic effect of venom of venomous lizard, undet, sequela",466,"Toxic effect of venom of other venomous lizard, undetermined, sequela",true
136,PREZISTA,darunavir,Janssen Products LP,Injury of internal jugular vein,83,Injury of internal jugular vein,true
137,Hydroxyzine Pamoate,Hydroxyzine Pamoate,"Watson Laboratories, Inc.","Stress fracture, right fibula, subs for fx w routn heal",91,"Stress fracture, right fibula, subsequent encounter for fracture with routine healing",true
138,Alcohol Prep Pad,Isopropyl Alcohol,Wuxi Medical Instrument Factory,"Open bite, left ankle",183,"Open bite, left ankle",false
139,ACETAMINOPHEN AND CODEINE,Acetaminophen and Codeine Phosphate,"Mutual Pharmaceutical Company, Inc.","Peripheral T-cell lymphoma, not classified, intrapelv nodes",443,"Peripheral T-cell lymphoma, not classified, intrapelvic lymph nodes",false
140,Lamotrigine,Lamotrigine,Cadila Healthcare Limited,"Fx unsp prt of nk of l femr, 7thE",467,"Fracture of unspecified part of neck of left femur, subsequent encounter for open fracture type I or II with routine healing",true
141,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,Chartwell Governmental and Specialty RX LLC,Anemia due to antineoplastic chemotherapy,370,Anemia due to antineoplastic chemotherapy,false
142,Alprazolam,Alprazolam,Cardinal Health,"Nondisp commnt fx shaft of l tibia, 7thK",86,"Nondisplaced comminuted fracture of shaft of left tibia, subsequent encounter for closed fracture with nonunion",true
143,Allergy Relief,Loratadine,HyVee Inc,"Gout due to renal impairment, unspecified hip",450,"Gout due to renal impairment, unspecified hip",true
144,Super Aqua Cleansing Oil,Glycerin,"AMI Cosmetic Co.,Ltd.","Pnctr w fb of abd wall, r upper q w penet perit cav, init",305,"Puncture wound with foreign body of abdominal wall, right upper quadrant with penetration into peritoneal cavity, initial encounter",true
145,ATORVASTATIN CALCIUM,ATORVASTATIN CALCIUM,"Watson Laboratories, Inc.",Unsp soft tissue disord related to use/pressure of shoulder,175,"Unspecified soft tissue disorder related to use, overuse and pressure of shoulder",false
